playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8478463,2021,Anthony Beauvillier,NYI,L,other,65,2305.0,38.0,16.56,0.45,0.47,0.58,0.43,0.56,0.45,230.0,7.77,1.32,0.54,1.5,0.3,4.25,3.09,1.31,1.32,1.31,0.0,0.0,9.0,2.0,1.0,12.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,6.0,9.0,11.0,0.0,0.0,1.0,1.0,2.0,1.0,8.0,2.0,1.0,0.41,0.29,0.61,0.0,0.0,0.0,12.0,11.0,11.0,0.0,0.14,0.0,0.13,1.33,1.33,1.32,38.0,10.0,8.0,7.0,13.0,4.0,5.0,6.0,23.0,1.0,0.0,5056.0,0.0,0.0,0.0,2.0,29.15,4.45,4.15,4.45,4.15,33.0,7.0,16.0,56.0,4.0,4.0,2.0,26.0,8.0,6.0,1.13,1.0,2.32,2.0,0.0,2.0,56.0,40.0,40.0,0.62,1.22,1.22,3.85,3.85,3.58,22.36,5.47,5.36,5.47,5.36,25.0,6.0,10.0,41.0,8.0,0.0,0.0,20.0,3.0,8.0,0.82,0.35,4.31,2.0,0.0,6.0,41.0,31.0,31.0,0.35,0.0,0.0,5.82,5.82,5.7,10.6,11.94,89.0,117.0,0.03,0.13,1.0,1.0,1.0,1.0
8478463,2021,Anthony Beauvillier,NYI,L,all,65,65709.0,1368.0,26.78,0.53,0.48,0.5,0.46,0.49,0.46,297.0,134.39,14.94,9.83,28.53,4.61,72.92,51.17,14.24,15.03,14.32,14.0,7.0,140.0,42.0,47.0,229.0,32.0,11.0,15.0,2.0,29.0,6.0,58.0,63.0,129.0,171.0,4.0,8.0,4.0,31.0,28.0,40.0,132.0,33.0,17.0,5.15,3.96,5.82,2.0,3.0,6.0,229.67,182.0,182.29,8.0,2.18,4.04,2.87,14.25,14.32,13.9,1368.0,205.0,126.0,215.0,822.0,213.0,198.0,203.0,754.0,4.0,6.0,170984.0,8.0,18.0,9.0,17.0,548.64,56.69,53.24,57.17,53.7,564.0,197.0,273.0,1034.0,55.0,56.0,11.0,562.0,130.0,69.0,17.82,15.66,23.21,18.0,15.0,22.0,1044.2,761.0,767.14,9.02,12.63,12.93,52.78,53.22,51.22,560.52,49.7,48.19,49.74,48.24,584.0,204.0,241.0,1029.0,53.0,41.0,7.0,614.0,123.0,51.0,18.47,14.88,16.34,20.0,18.0,15.0,1027.47,788.0,787.64,7.9,8.64,8.54,49.05,49.08,48.23,121.12,129.23,2356.0,2814.0,0.0,0.0,0.0,0.0,0.0,0.0
8478463,2021,Anthony Beauvillier,NYI,L,5on5,65,55042.0,1151.0,26.78,0.48,0.48,0.46,0.46,0.45,0.47,252.0,95.73,9.88,6.92,20.49,3.16,50.6,36.95,9.52,9.97,9.6,12.0,4.0,94.0,34.0,33.0,161.0,23.0,7.0,11.0,2.0,22.0,4.0,37.0,47.0,87.0,121.0,4.0,8.0,3.0,28.0,25.0,33.0,92.0,25.0,11.0,3.8,3.07,3.0,1.0,3.0,3.0,161.67,128.0,128.29,8.0,1.43,3.0,2.69,8.62,8.69,8.62,1151.0,141.0,109.0,194.0,707.0,181.0,177.0,168.0,625.0,3.0,3.0,140971.0,8.0,14.0,7.0,14.0,411.85,36.43,35.06,36.91,35.52,421.0,152.0,215.0,788.0,37.0,40.0,7.0,440.0,95.0,38.0,14.41,11.51,10.51,14.0,12.0,11.0,798.2,573.0,579.14,5.95,8.63,8.93,33.46,33.89,33.48,491.99,39.31,38.28,39.35,38.33,510.0,186.0,221.0,917.0,42.0,36.0,6.0,556.0,103.0,37.0,16.52,12.53,10.25,18.0,15.0,9.0,915.47,696.0,695.64,6.76,7.3,7.2,38.86,38.89,38.25,85.51,91.48,1910.0,2232.0,1.65,1.58,32.0,30.0,22.0,25.0
8478463,2021,Anthony Beauvillier,NYI,L,4on5,65,1616.0,57.0,14.21,0.29,0.16,0.17,0.14,0.19,0.16,208.0,1.5,0.1,0.07,0.21,0.04,0.44,1.14,0.1,0.1,0.1,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.01,0.39,0.0,0.12,0.12,0.12,57.0,1.0,6.0,3.0,47.0,4.0,13.0,6.0,34.0,0.0,3.0,9324.0,0.0,2.0,1.0,0.0,5.47,0.91,0.89,0.91,0.89,5.0,2.0,0.0,7.0,0.0,1.0,0.0,3.0,2.0,2.0,0.11,0.17,0.64,0.0,0.0,0.0,7.0,7.0,7.0,0.06,0.39,0.39,0.58,0.58,0.58,21.37,2.25,2.13,2.25,2.13,25.0,4.0,6.0,35.0,1.0,2.0,0.0,17.0,9.0,3.0,0.52,0.95,0.77,0.0,1.0,0.0,35.0,29.0,29.0,0.45,0.41,0.41,2.29,2.29,2.22,2.22,11.81,40.0,243.0,0.0,0.1,0.0,1.0,0.0,1.0
8478463,2021,Anthony Beauvillier,NYI,L,5on4,65,6746.0,122.0,21.16,0.85,0.86,0.84,0.85,0.82,0.83,324.0,26.06,3.33,2.1,5.67,1.01,15.81,8.07,3.03,3.33,3.03,2.0,3.0,31.0,5.0,13.0,49.0,9.0,4.0,3.0,0.0,4.0,2.0,16.0,7.0,27.0,32.0,0.0,0.0,0.0,1.0,1.0,5.0,27.0,4.0,5.0,0.72,0.41,2.21,1.0,0.0,3.0,49.0,36.0,36.0,0.0,0.55,0.65,0.05,3.83,3.83,3.51,122.0,53.0,3.0,11.0,55.0,24.0,3.0,23.0,72.0,0.0,0.0,9136.0,0.0,2.0,1.0,0.0,96.55,14.3,12.59,14.3,12.59,98.0,35.0,41.0,174.0,14.0,11.0,2.0,89.0,21.0,23.0,1.98,2.57,9.75,2.0,3.0,9.0,174.0,133.0,133.0,2.29,2.39,2.39,14.2,14.2,12.95,22.35,2.47,2.22,2.47,2.22,22.0,7.0,3.0,32.0,1.0,3.0,1.0,19.0,7.0,3.0,0.57,0.89,1.02,0.0,1.0,0.0,32.0,29.0,29.0,0.3,0.93,0.93,1.84,1.84,1.81,16.76,2.7,239.0,43.0,0.15,0.0,2.0,0.0,2.0,0.0
8478873,2021,Troy Terry,ANA,R,other,64,3539.0,55.0,38.37,0.49,0.24,0.57,0.31,0.58,0.32,157.0,14.51,3.04,0.88,2.49,0.52,7.59,6.48,3.01,3.04,3.01,2.0,0.0,15.0,6.0,4.0,25.0,9.0,7.0,1.0,0.0,2.0,0.0,2.0,9.0,8.0,14.0,0.0,0.0,0.0,0.0,2.0,2.0,12.0,5.0,4.0,0.57,0.62,1.85,3.0,2.0,2.0,25.0,21.0,21.0,1.0,0.25,0.65,0.0,3.29,3.29,3.26,55.0,17.0,8.0,5.0,25.0,10.0,4.0,11.0,30.0,0.0,1.0,3615.0,0.0,2.0,1.0,1.0,50.62,9.41,9.21,9.41,9.21,51.0,21.0,23.0,95.0,12.0,3.0,1.0,45.0,16.0,11.0,1.68,1.94,5.78,3.0,3.0,6.0,95.0,72.0,72.0,1.0,1.24,1.24,9.17,9.17,9.09,38.01,9.68,9.59,9.68,9.59,37.0,16.0,19.0,72.0,10.0,0.0,0.0,27.0,15.0,11.0,1.15,1.84,6.7,2.0,3.0,5.0,72.0,53.0,53.0,0.64,0.0,0.0,10.31,10.31,10.21,4.46,14.08,54.0,121.0,0.76,0.0,3.0,0.0,2.0,0.0
8478873,2021,Troy Terry,ANA,R,all,64,68492.0,1425.0,55.2,0.56,0.44,0.56,0.45,0.55,0.44,255.0,152.33,18.21,11.15,32.35,5.04,81.21,59.05,17.73,18.34,17.86,12.0,14.0,149.0,58.0,48.0,255.0,57.0,31.0,12.0,3.0,28.0,4.0,59.0,73.0,118.0,176.0,12.0,24.0,1.0,4.0,29.0,42.0,132.0,57.0,18.0,5.31,6.93,5.96,10.0,14.0,7.0,256.45,207.0,208.35,16.0,2.5,2.78,2.84,17.86,18.02,17.88,1425.0,246.0,189.0,240.0,750.0,239.0,191.0,238.0,757.0,1.0,8.0,166489.0,24.0,54.0,27.0,19.0,629.85,60.13,58.61,60.32,58.8,621.0,264.0,286.0,1171.0,73.0,53.0,12.0,676.0,148.0,61.0,20.68,18.13,21.32,24.0,24.0,25.0,1171.46,885.0,885.55,9.74,11.07,11.07,58.8,58.87,58.15,512.74,46.56,45.54,47.05,46.02,526.0,196.0,212.0,934.0,60.0,30.0,2.0,542.0,149.0,31.0,16.14,17.69,12.73,23.0,30.0,7.0,944.6,722.0,728.4,7.1,6.05,6.05,47.61,48.05,47.61,109.48,140.77,2278.0,2824.0,0.0,0.0,0.0,0.0,0.0,0.0
8478873,2021,Troy Terry,ANA,R,5on5,64,57551.0,1233.0,55.2,0.53,0.48,0.51,0.47,0.52,0.47,222.0,113.56,12.25,8.26,25.14,3.75,60.26,44.36,11.79,12.38,11.94,7.0,9.0,111.0,43.0,36.0,190.0,34.0,18.0,9.0,3.0,22.0,4.0,50.0,51.0,93.0,136.0,11.0,22.0,1.0,4.0,24.0,33.0,99.0,44.0,11.0,4.04,5.4,2.8,7.0,9.0,2.0,191.46,154.0,155.35,15.0,1.73,2.09,2.82,11.15,11.32,11.21,1233.0,165.0,179.0,220.0,669.0,212.0,171.0,197.0,653.0,1.0,6.0,135531.0,22.0,52.0,25.0,18.0,481.05,39.48,38.32,39.68,38.5,470.0,204.0,197.0,871.0,43.0,45.0,10.0,526.0,111.0,37.0,16.12,13.71,9.65,18.0,17.0,8.0,871.46,674.0,674.55,6.54,8.83,8.83,37.2,37.26,36.78,448.57,35.2,34.27,35.69,34.75,459.0,174.0,189.0,822.0,49.0,30.0,2.0,488.0,125.0,20.0,14.28,14.89,6.03,21.0,26.0,2.0,832.6,633.0,639.4,6.2,6.05,6.05,35.35,35.8,35.45,81.52,87.99,1886.0,2126.0,1.06,1.56,31.0,36.0,23.0,27.0
8478873,2021,Troy Terry,ANA,R,4on5,64,21.0,2.0,5.71,1.0,0.27,1.0,0.13,1.0,0.16,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1495.0,0.0,0.0,0.0,0.0,0.72,0.01,0.01,0.01,0.01,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.01,0.0,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,3.1,8.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
8478873,2021,Troy Terry,ANA,R,5on4,64,7381.0,135.0,50.89,0.9,0.84,0.86,0.83,0.81,0.81,244.0,21.29,2.67,1.84,4.16,0.67,12.0,6.66,2.67,2.67,2.67,1.0,5.0,20.0,8.0,8.0,36.0,12.0,6.0,1.0,0.0,3.0,0.0,7.0,11.0,14.0,22.0,1.0,2.0,0.0,0.0,1.0,7.0,18.0,7.0,3.0,0.53,0.82,1.32,0.0,3.0,3.0,36.0,28.0,28.0,0.0,0.47,0.04,0.02,3.12,3.12,3.11,135.0,64.0,2.0,15.0,54.0,17.0,15.0,30.0,73.0,0.0,0.0,8877.0,2.0,0.0,0.0,0.0,91.07,10.52,10.36,10.52,10.36,92.0,37.0,65.0,194.0,16.0,4.0,1.0,97.0,20.0,12.0,2.53,2.39,5.6,1.0,4.0,11.0,194.0,129.0,129.0,2.06,0.99,0.99,11.59,11.59,11.42,22.42,1.19,1.19,1.19,1.19,26.0,5.0,1.0,32.0,0.0,0.0,0.0,26.0,5.0,0.0,0.67,0.52,0.0,0.0,0.0,0.0,32.0,31.0,31.0,0.2,0.0,0.0,1.39,1.39,1.39,14.69,2.76,226.0,45.0,0.0,0.0,1.0,0.0,0.0,0.0
